Reference,Value,Pin,Pin Name,Net,Status,Notes
U2,LP5024RSMR,20,OUT19,NC_LP_OUT19_RESERVE,GREEN,
U2,LP5024RSMR,21,OUT20,NC_LP_OUT20_RESERVE,GREEN,
U2,LP5024RSMR,22,OUT21,NC_LP_OUT21_RESERVE,GREEN,
U2,LP5024RSMR,23,OUT22,NC_LP_OUT22_RESERVE,GREEN,
U2,LP5024RSMR,24,OUT23,NC_LP_OUT23_RESERVE,GREEN,
U2,LP5024RSMR,25,ADDR0,GND,GREEN,
U2,LP5024RSMR,26,ADDR1,GND,GREEN,
U2,LP5024RSMR,27,VCC,3V3,GREEN,
U2,LP5024RSMR,28,SDA,I2C0_SDA,GREEN,
U2,LP5024RSMR,29,SCL,I2C0_SCL,GREEN,
U2,LP5024RSMR,30,EN,LP_EN,GREEN,
U2,LP5024RSMR,31,IREF,LP_IREF,GREEN,
U2,LP5024RSMR,32,VCAP,LP_VCAP,GREEN,
U2,LP5024RSMR,EP,Exposed pad,GND,GREEN,
D1,S4-3528RGBTA-A,1,Blue cathode,D1_B,GREEN,Slot 1 blue sink to LP5024.
D1,S4-3528RGBTA-A,2,Common anode,VLED,GREEN,Slot 1 common anode rail.
D1,S4-3528RGBTA-A,3,Green cathode,D1_G,GREEN,Slot 1 green sink to LP5024.
D1,S4-3528RGBTA-A,4,Red cathode,D1_R,GREEN,Slot 1 red sink to LP5024.
D2,S4-3528RGBTA-A,1,Blue cathode,D2_B,GREEN,Slot 2 blue sink to LP5024.
D2,S4-3528RGBTA-A,2,Common anode,VLED,GREEN,Slot 2 common anode rail.
D2,S4-3528RGBTA-A,3,Green cathode,D2_G,GREEN,Slot 2 green sink to LP5024.
D2,S4-3528RGBTA-A,4,Red cathode,D2_R,GREEN,Slot 2 red sink to LP5024.
D3,S4-3528RGBTA-A,1,Blue cathode,D3_B,GREEN,Slot 3 blue sink to LP5024.
D3,S4-3528RGBTA-A,2,Common anode,VLED,GREEN,Slot 3 common anode rail.
D3,S4-3528RGBTA-A,3,Green cathode,D3_G,GREEN,Slot 3 green sink to LP5024.
D3,S4-3528RGBTA-A,4,Red cathode,D3_R,GREEN,Slot 3 red sink to LP5024.
D4,S4-3528RGBTA-A,1,Blue cathode,D4_B,GREEN,Slot 4 blue sink to LP5024.
D4,S4-3528RGBTA-A,2,Common anode,VLED,GREEN,Slot 4 common anode rail.
D4,S4-3528RGBTA-A,3,Green cathode,D4_G,GREEN,Slot 4 green sink to LP5024.
D4,S4-3528RGBTA-A,4,Red cathode,D4_R,GREEN,Slot 4 red sink to LP5024.
D5,S4-3528RGBTA-A,1,Blue cathode,D5_B,GREEN,Slot 5 blue sink to LP5024.
D5,S4-3528RGBTA-A,2,Common anode,VLED,GREEN,Slot 5 common anode rail.
D5,S4-3528RGBTA-A,3,Green cathode,D5_G,GREEN,Slot 5 green sink to LP5024.
D5,S4-3528RGBTA-A,4,Red cathode,D5_R,GREEN,Slot 5 red sink to LP5024.
D6,S4-3528RGBTA-A,1,Blue cathode,D6_B,GREEN,Slot 6 blue sink to LP5024.
D6,S4-3528RGBTA-A,2,Common anode,VLED,GREEN,Slot 6 common anode rail.
D6,S4-3528RGBTA-A,3,Green cathode,D6_G,GREEN,Slot 6 green sink to LP5024.
D6,S4-3528RGBTA-A,4,Red cathode,D6_R,GREEN,Slot 6 red sink to LP5024.
U3,W25Q32JVSSIQ,1,/CS,FLASH_CS_N_BOOTSEL,GREEN,
U3,W25Q32JVSSIQ,2,DO/IO1,FLASH_IO1_MISO,GREEN,
U3,W25Q32JVSSIQ,3,/WP/IO2,FLASH_WP_IO2,GREEN,
U3,W25Q32JVSSIQ,4,GND,GND,GREEN,
U3,W25Q32JVSSIQ,5,DI/IO0,FLASH_IO0_MOSI,GREEN,
U3,W25Q32JVSSIQ,6,CLK,FLASH_SCLK,GREEN,
U3,W25Q32JVSSIQ,7,/HOLD/IO3,FLASH_HOLD_IO3,GREEN,
U3,W25Q32JVSSIQ,8,VCC,3V3,GREEN,
U4,AP2112K-3.3,1,VIN,VBUS,GREEN,
U4,AP2112K-3.3,2,GND,GND,GREEN,
U4,AP2112K-3.3,3,EN,VBUS,GREEN,Always enabled when USB VBUS is present.
U4,AP2112K-3.3,4,NC,NC_U4_4,GREEN,
U4,AP2112K-3.3,5,VOUT,3V3,GREEN,
U5,TPD2EUSB30DRTR,1,D+,USB_DP_CONN,GREEN,
U5,TPD2EUSB30DRTR,2,D-,USB_DM_CONN,GREEN,
U5,TPD2EUSB30DRTR,3,GND,GND,GREEN,
J1,USB_C_Receptacle_USB2.0_16P,A4/B4/A9/B9,VBUS,VBUS,GREEN,
J1,USB_C_Receptacle_USB2.0_16P,A1/B1/A12/B12,GND,GND,GREEN,
J1,USB_C_Receptacle_USB2.0_16P,A6/B6,D+,USB_DP_CONN,GREEN,
J1,USB_C_Receptacle_USB2.0_16P,A7/B7,D-,USB_DM_CONN,GREEN,
J1,USB_C_Receptacle_USB2.0_16P,A5,CC1,CC1,GREEN,
J1,USB_C_Receptacle_USB2.0_16P,B5,CC2,CC2,GREEN,
J1,USB_C_Receptacle_USB2.0_16P,A8/B8,SBU,NC_SBU,GREEN,
J1,USB_C_Receptacle_USB2.0_16P,S1/S2/S3/S4,Shield,SHIELD,YELLOW,Final shell-grounding strategy depends on enclosure and ESD review.
Y1,12MHz C9002,1,X1,XIN,YELLOW,
Y1,12MHz C9002,2,GND,GND,YELLOW,
Y1,12MHz C9002,3,X2,XOUT,YELLOW,
Y1,12MHz C9002,4,GND,GND,YELLOW,
SW1,BOOTSEL EVQP2R02M,1,A,FLASH_CS_N_BOOTSEL,GREEN,
SW1,BOOTSEL EVQP2R02M,2,B,GND,GREEN,
SW2,RESET EVQP2R02M,1,A,RUN_RESET,GREEN,
SW2,RESET EVQP2R02M,2,B,GND,GREEN,
R1,27R,1,A,USB_DP_CONN,GREEN,
R1,27R,2,B,USB_DP_MCU,GREEN,
R2,27R,1,A,USB_DM_CONN,GREEN,
R2,27R,2,B,USB_DM_MCU,GREEN,
R3,5.1k,1,A,CC1,GREEN,
R3,5.1k,2,B,GND,GREEN,
R4,5.1k,1,A,CC2,GREEN,
R4,5.1k,2,B,GND,GREEN,
R5,4.7k,1,A,3V3,GREEN,
R5,4.7k,2,B,I2C0_SDA,GREEN,
R6,4.7k,1,A,3V3,GREEN,
R6,4.7k,2,B,I2C0_SCL,GREEN,
R7,10k,1,A,LP_IREF,GREEN,
R7,10k,2,B,GND,GREEN,
R8,10k,1,A,3V3,GREEN,
R8,10k,2,B,LP_EN,GREEN,
C1,100nF,1,A,3V3,YELLOW,
C1,100nF,2,B,GND,YELLOW,
C2,100nF,1,A,3V3,YELLOW,
C2,100nF,2,B,GND,YELLOW,
C3,100nF,1,A,3V3,YELLOW,
C3,100nF,2,B,GND,YELLOW,
C4,100nF,1,A,3V3,YELLOW,
C4,100nF,2,B,GND,YELLOW,
C5,100nF,1,A,3V3,YELLOW,
C5,100nF,2,B,GND,YELLOW,
C6,100nF,1,A,3V3,YELLOW,
C6,100nF,2,B,GND,YELLOW,
C7,100nF,1,A,3V3_USB,YELLOW,
C7,100nF,2,B,GND,YELLOW,
C8,100nF,1,A,VBUS,YELLOW,
C8,100nF,2,B,GND,YELLOW,
C9,100nF,1,A,3V3,YELLOW,
C9,100nF,2,B,GND,YELLOW,
C10,100nF,1,A,3V3,YELLOW,
C10,100nF,2,B,GND,YELLOW,
C11,10uF,1,A,VBUS,YELLOW,
C11,10uF,2,B,GND,YELLOW,
C12,10uF,1,A,3V3,YELLOW,
C12,10uF,2,B,GND,YELLOW,
C13,33pF,1,A,XIN,YELLOW,
C13,33pF,2,B,GND,YELLOW,
C14,33pF,1,A,XOUT,YELLOW,
C14,33pF,2,B,GND,YELLOW,
C15,1uF,1,A,LP_VCAP,GREEN,
C15,1uF,2,B,GND,GREEN,
C16,1uF,1,A,3V3,GREEN,
C16,1uF,2,B,GND,GREEN,
TP1,VBUS,1,pad,VBUS,GREEN,Bring-up pogo/test pad.
TP2,3V3,1,pad,3V3,GREEN,Bring-up pogo/test pad.
TP3,GND,1,pad,GND,GREEN,Bring-up pogo/test pad.
TP4,SDA,1,pad,I2C0_SDA,GREEN,Bring-up pogo/test pad.
TP5,SCL,1,pad,I2C0_SCL,GREEN,Bring-up pogo/test pad.
TP6,D+,1,pad,USB_DP_CONN,GREEN,Bring-up pogo/test pad.
TP7,D-,1,pad,USB_DM_CONN,GREEN,Bring-up pogo/test pad.
TP8,RUN,1,pad,RUN_RESET,GREEN,Bring-up pogo/test pad.
TP9,SWDIO,1,pad,SWDIO,GREEN,Bring-up pogo/test pad.
TP10,SWCLK,1,pad,SWCLK,GREEN,Bring-up pogo/test pad.
TP11,RUN,1,pad,RUN_RESET,GREEN,Bring-up pogo/test pad.
TP12,3V3,1,pad,3V3,GREEN,Bring-up pogo/test pad.
TP13,GND,1,pad,GND,GREEN,Bring-up pogo/test pad.
